[MSI]													
Submission Title	Metabolic and transcriptional response of Arabidopsis thaliana wildtype and mutants to Phytophtora infestans												
Submission Identifier	MTBLS18												
Submission Description	The oomycete P. infestans is the causal agent of late blight, the most devastating potato disease. In contrast to potato, A. thaliana is able to successfully prevent colonization of the pathogen due to a multi-layered nonhost resistance. Several mutants have been isolated which are impaired in penetration resistance. A mutation in the gene PEN2, which encodes for an enzyme involved in indole glucosinolate metabolism (Bednarek et al. (2009)), results in the loss of penetration resistance against P. infestans (Lipka et al. (2005)). Despite its ability to penetrate epidermal cells of pen2 mutant plants, P. infestans is still not able to colonize these plants. Additional mutants were isolated by Kopischke et al. (2013) which show enhanced defense responses upon infection with P. infestans: pen2erp1 and pen2erp2, and backcrossed mutants erp140 and erp2D. We used six different plant lines, the wildtype-like gl1, and the five different mutants (pen2, pen2erp1, pen2erp2, erp2D, erp140). The plants were either infected with P. infestans spores or treated with water as control, and harvested 6h and 12h after treatment. The experiment was repeated three times with different P. infestans cultures, resulting in biological triplicates, for an overall of 6 x 2 x 2 x 3 = 72 samples.												
Submission Version	1.2												
Submission Reference Layer	false												
Submission Release Date	2014/03/19												
Submission Update Date	2014/03/19												
Publication PubMed ID	23072470												
Publication DOI													
Term Source Name	EFO	NCBITaxon	UO	PO									
Term Source URI	http://bioportal.bioontology.org/ontologies/50608	http://bioportal.bioontology.org/ontologies/47845	http://www.ebi.ac.uk/ontology-lookup/browse.do?ontName=UO	http://bioportal.bioontology.org/ontologies/50642									
Term Source Version	50608	47845	Jun 2010	50642									
Term Source Description	Experimental Factor Ontology	National Center for Biotechnology Information (NCBI) Organismal Classification	Unit Ontology	Plant Ontology									
Database Name													
Database ID													
Database URI													
													
[SCD]													
Sample Name	Organism	Term Source REF	Term Source ID	Characteristic[Organism part]	Term Source REF	Term Source ID	Comment[other]	Comment[other]	Term Source REF	Term Source ID	Comment[other]	Term Source REF	Term Source ID
1	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
10	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
11	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
12	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
13	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
14	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
15	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
16	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
17	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
18	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
19	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
2	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
20	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
21	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
22	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
23	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
24	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
25	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
26	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
27	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
28	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
29	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
3	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
30	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
31	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
32	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
33	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
34	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
35	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
36	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
37	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
38	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
39	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
4	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
40	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
41	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
42	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
43	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
44	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
45	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
46	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
47	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
48	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
49	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
5	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
50	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
51	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
52	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
53	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
54	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
55	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
56	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
57	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
58	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
59	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
6	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	6	UO	UO:0000032
60	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
61	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
62	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
63	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
64	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
65	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
66	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	water	EFO	OBI:CHEBI_15377	12	UO	UO:0000032
67	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
68	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
69	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
7	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	gl1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
70	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	D	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
71	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp1	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
72	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	erp2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	12	UO	UO:0000032
8	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	pen2	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
9	Arabidopsis thaliana	NCBITaxon	3702	rosette leaf	PO	PO:0000014	40	Phytophthora infestans	EFO	http://purl.obolibrary.org/obo/NCBITaxon_4787	6	UO	UO:0000032
